stimulus,subjID_1,subjID_2,subjID_3,subjID_4,subjID_5,subjID_6,subjID_7,subjID_8,subjID_9,subjID_10,subjID_11,subjID_12,subjID_13,subjID_14,subjID_15,subjID_16,subjID_17,subjID_18,subjID_19,subjID_20
bunny_D01_L01,2,3,3,3,3,3,3,3,2,3,4,4,3,3,4,2,2,4,3,3
bunny_D01_L02,2,3,3,2,4,3,3,3,4,1,4,3,3,3,2,2,3,4,4,4
bunny_D01_L03,2,2,2,3,2,2,3,2,3,2,4,3,3,3,3,2,3,2,3,3
bunny_D01_L04,1,2,3,2,1,2,3,1,1,2,3,4,2,1,1,1,1,2,3,2
bunny_D01_hidden,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
bunny_D02_L01,5,4,5,5,4,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5
bunny_D02_L02,3,4,4,4,3,3,3,4,3,3,5,4,2,4,3,4,3,3,3,4
bunny_D02_L03,2,3,1,2,2,1,2,2,3,2,3,3,1,1,2,1,3,2,3,2
bunny_D02_L04,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,1,3
bunny_D02_hidden,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5
cube_D01_L01,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5
cube_D01_L02,5,2,5,4,4,4,4,5,4,5,5,5,5,4,4,5,4,4,4,5
cube_D01_L03,4,3,3,4,4,3,4,4,4,4,5,5,3,4,3,3,4,2,4,4
cube_D01_L04,3,3,4,4,2,2,3,2,2,3,4,5,1,3,3,2,3,3,5,1
cube_D01_hidden,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cube_D02_L01,5,4,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,4,4,5
cube_D02_L02,3,3,3,4,2,2,3,3,3,3,4,4,1,3,3,4,3,3,4,4
cube_D02_L03,1,2,2,2,2,1,2,2,1,2,3,2,1,2,2,2,2,1,1,2
cube_D02_L04,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1
cube_D02_hidden,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5
dragon_D01_L01,2,4,1,3,3,3,2,2,3,3,3,3,2,3,3,2,3,3,3,2
dragon_D01_L02,2,2,2,2,3,3,2,3,3,2,4,4,2,3,1,2,3,3,3,3
dragon_D01_L03,1,2,1,1,3,1,2,2,2,1,4,3,1,2,3,1,1,1,4,2
dragon_D01_L04,1,2,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,2,1
dragon_D01_hidden,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5
dragon_D02_L01,5,5,5,5,4,5,4,5,5,5,4,5,5,4,2,5,4,5,4,5
dragon_D02_L02,3,3,3,3,3,4,2,3,3,4,4,4,4,4,3,3,3,3,4,4
dragon_D02_L03,1,2,1,1,2,1,2,1,2,1,1,3,2,1,1,1,2,1,2,3
dragon_D02_L04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
dragon_D02_hidden,4,4,5,5,5,4,5,5,5,5,4,5,4,5,5,5,4,5,1,5
sphere_D01_L01,4,4,4,4,3,3,3,4,3,3,5,4,4,4,3,4,5,4,3,3
sphere_D01_L02,2,2,2,3,2,3,3,2,1,2,3,2,2,2,2,3,3,3,1,1
sphere_D01_L03,1,2,2,2,2,3,3,2,1,1,4,2,1,3,1,2,3,4,1,2
sphere_D01_L04,1,1,1,2,1,1,1,1,1,2,3,1,1,2,2,1,1,1,1,1
sphere_D01_hidden,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
sphere_D02_L01,5,4,5,5,4,4,5,5,5,5,5,5,5,4,4,5,5,4,4,5
sphere_D02_L02,3,3,3,4,3,3,3,4,3,3,3,3,1,4,2,3,4,3,3,3
sphere_D02_L03,2,2,2,3,1,1,2,2,1,2,3,1,1,1,2,3,2,1,1,1
sphere_D02_L04,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1
sphere_D02_hidden,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,2,5
vase_D01_L01,3,3,2,3,3,3,3,2,2,3,4,3,4,3,3,3,3,4,4,3
vase_D01_L02,2,1,3,3,2,3,3,2,2,2,4,2,3,3,2,2,2,3,3,3
vase_D01_L03,2,1,3,2,3,1,3,1,1,2,3,3,2,2,1,2,2,2,4,2
vase_D01_L04,1,1,1,2,2,2,2,1,1,1,3,2,1,1,1,1,2,2,3,1
vase_D01_hidden,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5
vase_D02_L01,5,4,4,5,4,5,4,5,4,5,5,5,5,5,4,5,5,4,4,5
vase_D02_L02,3,3,3,4,4,3,3,3,4,4,3,3,3,3,2,4,3,3,3,3
vase_D02_L03,1,1,2,2,2,1,2,2,2,1,2,4,1,2,1,2,2,1,2,2
vase_D02_L04,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1
vase_D02_hidden,5,4,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5